user_id,cohort,surveyid
233,full,104
234,full,104
235,full,104
236,full,104
237,full,104
239,full,104
240,full,104
241,full,104
238,full,104
160,basic,102
152,basic,102
185,nopreannotations,103
154,basic,102
155,basic,102
156,basic,102
157,basic,102
158,basic,102
159,basic,102
161,basic,102
162,basic,102
163,basic,102
164,basic,102
165,basic,102
166,basic,102
167,basic,102
168,basic,102
169,basic,102
170,basic,102
171,basic,102
172,basic,102
173,basic,102
174,basic,102
175,basic,102
176,basic,102
178,basic,102
179,basic,102
180,basic,102
181,basic,102
182,nopreannotations,103
183,nopreannotations,103
184,nopreannotations,103
186,nopreannotations,103
187,nopreannotations,103
188,nopreannotations,103
189,nopreannotations,103
190,nopreannotations,103
191,nopreannotations,103
192,nopreannotations,103
193,nopreannotations,103
194,nopreannotations,103
196,nopreannotations,103
197,nopreannotations,103
198,nopreannotations,103
199,nopreannotations,103
200,nopreannotations,103
201,nopreannotations,103
202,nopreannotations,103
203,nopreannotations,103
204,nopreannotations,103
205,nopreannotations,103
206,nopreannotations,103
207,nopreannotations,103
208,nopreannotations,103
209,nopreannotations,103
210,nopreannotations,103
211,nopreannotations,103
212,full,104
213,full,104
214,full,104
215,full,104
217,full,104
218,full,104
219,full,104
220,full,104
221,full,104
222,full,104
223,full,104
224,full,104
225,full,104
226,full,104
227,full,104
228,full,104
229,full,104
230,full,104
231,full,104
232,full,104
216,full,104
153,basic,102
177,basic,102
195,nopreannotations,103
356,nopreannotations,103
353,nopreannotations,103
303,basic,102
352,basic,102
358,nopreannotations,103
359,basic,102
360,nopreannotations,103
361,nopreannotations,103
362,nopreannotations,103
354,full,104
355,basic,102
357,full,104
363,nopreannotations,103
365,basic,102
364,nopreannotations,103
